,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location,year,month
562923,28098853,05/22/2014 09:03:15 PM,05/23/2014 01:55:52 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462.0,959 VAN NEST AVENUE,VAN NEST AVENUE,BOGART AVENUE,RADCLIFF AVENUE,,,ADDRESS,BRONX,Precinct,Closed,05/23/2014 05:03:15 AM,The Police Department issued a summons in response to the complaint.,05/23/2014 01:55:52 AM,11 BRONX,BRONX,1023951.0,247614.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84622907459729,-73.856505440181,"(40.846229074597, -73.856505440181)",2014,5
728013,31681257,10/04/2015 02:24:33 PM,10/10/2015 08:46:03 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10457.0,1711 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/10/2015 08:46:03 AM,04 BRONX,BRONX,1009314.0,246972.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84452065277205,-73.90941149309147,"(40.844520652772, -73.909411493091)",2015,10
244885,29779207,01/23/2015 08:19:57 AM,01/23/2015 09:37:40 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10459.0,,,,,EAST  163 STREET,PROSPECT AVENUE,INTERSECTION,BRONX,Precinct,Closed,01/23/2015 04:19:57 PM,The Police Department responded to the complaint and took action to fix the condition.,01/23/2015 09:37:40 AM,02 BRONX,BRONX,1011758.0,238809.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.822108308143285,-73.90061165595493,"(40.822108308143, -73.900611655955)",2015,1
827404,31349647,08/19/2015 07:34:02 AM,08/19/2015 09:40:42 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203.0,1279 UTICA AVENUE,UTICA AVENUE,AVENUE D,FOSTER AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,08/19/2015 03:34:02 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,08/19/2015 09:40:42 AM,17 BROOKLYN,BROOKLYN,1003885.0,172909.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64125011341169,-73.92924965446997,"(40.641250113412, -73.92924965447)",2015,8
405951,38317338,01/26/2018 07:43:07 AM,01/26/2018 11:09:28 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11225.0,249 MAPLE STREET,MAPLE STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,01/26/2018 03:43:07 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/26/2018 11:09:28 AM,09 BROOKLYN,BROOKLYN,997474.0,180002.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66073074560188,-73.95233635147484,"(40.660730745602, -73.952336351475)",2018,1
127654,33119409,04/12/2016 05:34:25 PM,04/13/2016 03:52:14 PM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11385.0,78-16 COOPER AVENUE,COOPER AVENUE,78 STREET,79 STREET,,,ADDRESS,RIDGEWOOD,,Closed,04/23/2016 09:10:58 AM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,04/13/2016 03:52:14 PM,05 QUEENS,QUEENS,1019390.0,197171.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70779582739245,-73.87325441102347,"(40.707795827392, -73.873254411023)",2016,4
309671,32054039,11/23/2015 05:14:16 PM,12/21/2015 09:23:22 AM,HPD,Department of Housing Preservation and Development,Sanitation,PESTS,RESIDENTIAL BUILDING,11223.0,1780 WEST    3 STREET,WEST    3 STREET,,,,,ADDRESS,BROOKLYN,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",12/21/2015 09:23:22 AM,11 BROOKLYN,BROOKLYN,990897.0,159411.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.60422019610889,-73.97606230366148,"(40.604220196109, -73.976062303661)",2015,11
562584,36432422,06/13/2017 05:49:32 AM,06/13/2017 03:56:47 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11217.0,209 LINCOLN PLACE,LINCOLN PLACE,7 AVENUE,8 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,06/13/2017 01:49:32 PM,The Police Department issued a summons in response to the complaint.,06/13/2017 03:56:47 PM,06 BROOKLYN,BROOKLYN,991645.0,185290.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67525191350229,-73.97334018348373,"(40.675251913502, -73.973340183484)",2017,6
407485,31477944,09/06/2015 11:29:59 PM,09/07/2015 06:09:57 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Street/Sidewalk,10464.0,19 SCHOFIELD STREET,SCHOFIELD STREET,DEAD END,WILLIAM AVENUE,,,ADDRESS,BRONX,Precinct,Closed,09/07/2015 07:29:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/07/2015 06:09:57 AM,10 BRONX,BRONX,1042685.0,247004.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84445070449474,-73.78879915336205,"(40.844450704495, -73.788799153362)",2015,9
77990,29025395,10/07/2014 11:54:16 PM,10/08/2014 02:29:04 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10003.0,327 1 AVENUE,1 AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,10/08/2014 07:54:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/08/2014 02:29:04 AM,06 MANHATTAN,MANHATTAN,989724.0,206819.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73434534338156,-73.9802481058758,"(40.734345343382, -73.980248105876)",2014,10
